"","X","CancerSite","Sex","Race","Year","rate.2.2018","se.2.2018","modrate.2.2018","rate.11.2018","se.11.2018","modrate.11.2018","rate.2.2019","se.2.2019","modrate.2.2019"
"1",1,"All Sites","Both Sexes","All Races",2001,487.42404608,0.810664386,481.00828633,487.4759235,0.81070049,483.25748026,487.56383739,0.810771882,483.85480315
"2",2,"All Sites","Both Sexes","All Races",2002,483.35930934,0.800421534,479.22477322,483.42540757,0.800471344,479.28661777,483.50757775,0.800536481,478.45733197
"3",3,"All Sites","Both Sexes","All Races",2003,469.26727661,0.78188048,477.44787312,469.35345667,0.781948963,475.34838333,469.47664031,0.782049638,473.12007038
"4",4,"All Sites","Both Sexes","All Races",2004,471.21577531,0.777960761,475.67756154,471.31373534,0.778031595,471.44250883,471.41922016,0.778117845,467.84234671
"5",5,"All Sites","Both Sexes","All Races",2005,467.30010625,0.779419463,473.91381402,467.40812071,0.779506277,467.56872839,455.14228078,0.75891144,462.62349683
"6",6,"All Sites","Both Sexes","All Races",2006,469.83973652,0.765692519,472.15660624,470.00535408,0.765821413,470.14099967,470.17974832,0.765958255,467.05025582
"7",7,"All Sites","Both Sexes","All Races",2007,477.07207178,0.764874448,470.40591395,476.88814126,0.764408511,472.72742197,477.13609293,0.764608612,471.51937364
"8",8,"All Sites","Both Sexes","All Races",2008,472.42746934,0.754441727,468.66171299,472.09699734,0.753731165,475.32807316,472.02043733,0.753409945,476.03125564
"9",9,"All Sites","Both Sexes","All Races",2009,470.51591245,0.7465506,466.92397928,470.07789518,0.745648013,468.49585445,469.92342533,0.745258555,469.06555972
"10",10,"All Sites","Both Sexes","All Races",2010,460.5748948,0.732419777,461.81924037,460.15993517,0.73147645,461.76183994,459.96980208,0.731055589,462.20179181
"11",11,"All Sites","Both Sexes","All Races",2011,456.98623379,0.723581315,456.77031003,456.39919102,0.722364427,455.12461808,456.2341112,0.721950754,455.43846042
"12",12,"All Sites","Both Sexes","All Races",2012,447.97349359,0.709602276,451.77657813,447.15219111,0.707879984,448.58279758,447.08021264,0.707536463,448.77409587
"13",13,"All Sites","Both Sexes","All Races",2013,442.59746723,0.698384799,446.83744118,441.82873112,0.696614179,442.1350072,441.85096753,0.696348654,442.20725
"14",14,"All Sites","Both Sexes","All Races",2014,441.45310323,0.691911556,441.95230233,440.71639493,0.689814738,440.57737254,440.98000609,0.68951434,440.85449326
"15",15,"All Sites","Both Sexes","All Races",2015,443.18701448,0.690532401,437.12057123,441.65070556,0.685539631,439.0252254,442.32724372,0.685487739,439.50587474
"16",16,"All Sites","Both Sexes","All Races",2016,431.42552994,0.699445779,432.34166398,435.68624543,0.678509616,437.47854645,439.4925296,0.680913625,438.16138178
"17",17,"All Sites","Both Sexes","All Races",2017,NA,NA,NA,NA,NA,NA,434.25088524,0.694202353,436.82100176
"18",18,"All Sites","Both Sexes","White",2000,492.77332964,0.901748932,497.31817952,492.83840997,0.901809244,497.32320579,492.98391155,0.901942714,497.74935041
"19",19,"All Sites","Both Sexes","White",2001,496.40335707,0.899741917,492.2396712,496.47455916,0.899807569,492.32563225,496.62156016,0.899941108,492.65642731
"20",20,"All Sites","Both Sexes","White",2002,492.18715993,0.890071352,487.21302354,492.31149751,0.890184737,487.37827905,492.43706255,0.890298559,487.6156145
"21",21,"All Sites","Both Sexes","White",2003,477.54965756,0.870878341,482.23770695,477.68750625,0.871010291,482.48064152,477.87054488,0.871175508,482.62637879
"22",22,"All Sites","Both Sexes","White",2004,479.7878982,0.868595325,477.31319724,479.91526194,0.868709067,477.63222009,480.09479208,0.8688733,477.68819247
"23",23,"All Sites","Both Sexes","White",2005,477.85397629,0.872875229,480.37185763,477.97174492,0.87298721,480.36016346,466.65073458,0.852060569,472.80053318
