ISO code,Population,Value
ISL,Iceland,265.1
TKM,Turkmenistan,128.8
BGD,Bangladesh,106.2
MTQ,France:Martinique,248.7
CYP,Cyprus,256.7
REU,France_LaReunion,212.5
SEN,Senegal,119.5
ITA,Italy,292.6
USA,UnitedStatesofAmerica,362.2
BWA,Botswana,109.5
MAR,Morocco,148.3
GNQ,EquatorialGuinea,110.1
GUF,FrenchGuiana,216.2
SOM,Somalia,118.1
PRK,Korea_DemocraticRepublicof,161.5
BDI,Burundi,135.5
VUT,Vanuatu,108.8
DEU,Germany,313.2
SWZ,Eswatini,127.9
LVA,Latvia,301.5
LKA,SriLanka,105.4
PAN,Panama,151.0
GUY,Guyana,141.5
TTO,TrinidadandTobago,193.9
AUS,Australia,452.4
MYS,Malaysia,143.9
COD,Congo_DemocraticRepublicof,102.9
GNB,Guinea-Bissau,107.2
IRN,Iran_IslamicRepublicof,152.7
MKD,NorthMacedonia,220.4
BEL,Belgium,349.2
MEX,Mexico,140.4
DNK,Denmark,351.1
RWA,Rwanda,113.9
EST,Estonia,278.5
SGP,Singapore,233.0
JPN,Japan,285.1
UZB,Uzbekistan,108.1
SLB,SolomonIslands,130.4
NAM,Namibia,198.3
GAB,Gabon,115.8
ESP,Spain,277.2
KGZ,Kyrgyzstan,130.6
CMR,Cameroon,127.6
NER,Niger,78.4
GLP,France_Guadeloupe,258.6
SYR,SyrianArabRepublic,149.3
DZA,Algeria,135.3
LTU,Lithuania,293.4
YEM,Yemen,97.0
CHN,China,204.8
PER,Peru,176.3
HUN,Hungary,338.2
TUR,Turkey,231.5
BHR,Bahrain,112.2
MLT,Malta,244.6
CUB,Cuba,217.1
QAT,Qatar,107.2
ISR,Israel,240.7
TZA,Tanzania_UnitedRepublicof,133.7
BIH,BosniaandHerzegovina,227.1
MNE,Montenegro,290.2
SLV,ElSalvador,129.6
SAU,SaudiArabia,96.4
FRA,France,341.9
SVN,Slovenia,309.0
KEN,Kenya,149.2
MMR,Myanmar,136.8
NCL,France_NewCaledonia,313.7
PSE,GazaStripandWestBank,158.8
SUR,Suriname,167.5
LSO,Lesotho,109.0
CAF,CentralAfricanRepublic,100.4
PAK,Pakistan,110.4
GIN,Guinea,116.6
TGO,Togo,111.7
ARG,Argentina,218.2
MWI,Malawi,154.2
COG,Congo_Republicof,84.4
PRT,Portugal,261.8
IDN,Indonesia,141.1
UKR,Ukraine,212.8
BRB,Barbados,219.2
MUS,Mauritius,155.0
BEN,Benin,95.8
RUS,RussianFederation,234.3
ERI,Eritrea,100.8
SLE,SierraLeone,102.1
JAM,Jamaica,198.8
URY,Uruguay,269.3
BLZ,Belize,120.9
OMN,Oman,103.8
DJI,Djibouti,91.0
ZWE,Zimbabwe,200.4
KWT,Kuwait,115.7
KHM,Cambodia,135.3
NIC,Nicaragua,135.7
GRC,Greece,264.7
CHE,Switzerland,317.6
ALB,Albania,148.1
LBY,Libya,132.2
CHL,Chile,180.9
PRY,Paraguay,191.0
HND,Honduras,133.7
TUN,Tunisia,133.5
BHS,Bahamas,188.9
MLI,Mali,140.3
HRV,Croatia,290.8
PRI,PuertoRico,218.6
IRL,Ireland,372.8
GBR,UnitedKingdom,319.9
BOL,Bolivia_PlurinationalStateof,137.5
MDA,RepublicofMoldova,227.0
ECU,Ecuador,154.6
STP,SaoTomeandPrincipe,126.4
FIN,Finland,271.2
VNM,VietNam,159.7
JOR,Jordan,155.3
WSM,Samoa,236.4
BGR,Bulgaria,247.1
NLD,TheNetherlands,349.6
GMB,TheRepublicoftheGambia,79.5
SDN,Sudan,95.7
LBN,Lebanon,156.8
CPV,CaboVerde,179.0
NOR,Norway,327.5
GTM,Guatemala,123.1
THA,Thailand,164.0
AZE,Azerbaijan,141.8
MDG,Madagascar,124.3
COM,Comoros,111.8
POL,Poland,267.3
IND,India,97.1
UGA,Uganda,153.8
ARM,Armenia,202.9
MRT,Mauritania,108.6
CZE,Czechia,292.6
ROU,Romania,263.1
SRB,Serbia,299.2
CIV,Coted_Ivoire,123.3
BFA,BurkinaFaso,112.0
BRA,Brazil,215.4
MOZ,Mozambique,135.3
ETH,Ethiopia,106.7
PYF,FrenchPolynesia,240.4
ZAF,SouthAfrica,209.5
KOR,Korea_Republicof,242.7
BLR,Belarus,252.8
NZL,NewZealand,422.9
GHA,Ghana,115.9
SWE,Sweden,288.6
AFG,Afghanistan,108.8
LBR,Liberia,119.3
TCD,Chad,102.3
PNG,PapuaNewGuinea,199.4
HTI,Haiti,137.9
ARE,UnitedArabEmirates,106.7
AUT,Austria,255.7
MDV,Maldives,123.7
CRI,CostaRica,188.7
TLS,Timor_Leste,89.7
IRQ,Iraq,134.9
EGY,Egypt,159.4
BTN,Bhutan,81.9
MNG,Mongolia,215.6
DOM,DominicanRepublic,172.4
LCA,SaintLucia,174.3
FJI,Fiji,169.7
SVK,Slovakia,296.8
KAZ,Kazakhstan,166.9
VEN,Venezuela_BolivarianRepublicof,181.1
BRN,BruneiDarussalam,224.0
NPL,Nepal,80.9
GEO,Georgia,196.1
SSD,SouthSudan,94.7
LAO,LaoPeoples_DemocraticRepublic,165.8
CAN,Canada,348.0
NGA,Nigeria,110.4
GUA,Guam,178.1
TJK,Tajikistan,89.7
AGO,Angola,130.6
LUX,Luxembourg,291.9
ZMB,Zambia,153.5
COL,Colombia,182.3
PHL,Philippines,162.0
