ISO code,Population,Value
"GLP","France,Guadeloupe","5.9",
"SYR","SyrianArabRepublic","11.7",
"DZA","Algeria","9.3",
"LTU","Lithuania","20.9",
"CHN","China","12.4",
"PER","Peru","6.5",
"HUN","Hungary","12.5",
"TUR","Turkey","19.7",
"BHR","Bahrain","12.4",
"MLT","Malta","15.0",
"CUB","Cuba","12.1",
"QAT","Qatar","5.3",
"ISR","Israel","16.6",
"TZA","Tanzania,UnitedRepublicof","2.0",
"BIH","BosniaandHerzegovina","27.4",
"MNE","Montenegro","12.9",
"SLV","ElSalvador","13.8",
"SAU","SaudiArabia","3.4",
"KEN","Kenya","7.6",
"MMR","Myanmar","7.1",
"NCL","France,NewCaledonia","12.3",
"FRA","France","16.9",
"SVN","Slovenia","16.5",
"PSE","GazaStripandWestBank","7.6",
"SUR","Suriname","11.6",
"LSO","Lesotho","0",
"CAF","CentralAfricanRepublic","1.7",
"PAK","Pakistan","5.7",
"GIN","Guinea","8.3",
"TGO","Togo","2.4",
"ARG","Argentina","10.3",
"MWI","Malawi","1.6",
"COG","Congo,Republicof","0.53",
"PRT","Portugal","13.9",
"IDN","Indonesia","4.3",
"UKR","Ukraine","8.2",
"BRB","Barbados","8.4",
"MUS","Mauritius","5.1",
"BEN","Benin","1.4",
"RUS","RussianFederation","13.5",
"JAM","Jamaica","2.3",
"URY","Uruguay","9.9",
"BLZ","Belize","0",
"OMN","Oman","4.4",
"ERI","Eritrea","2.9",
"SLE","SierraLeone","3.1",
"DJI","Djibouti","1.6",
"ZWE","Zimbabwe","9.3",
"KWT","Kuwait","7.0",
"YEM","Yemen","7.9",
"KHM","Cambodia","9.9",
"NIC","Nicaragua","6.6",
"GRC","Greece","21.2",
"CHE","Switzerland","12.6",
"ALB","Albania","9.7",
"LBY","Libya","8.3",
"CHL","Chile","7.9",
"PRY","Paraguay","5.5",
"HND","Honduras","7.9",
"TUN","Tunisia","8.8",
"BHS","Bahamas","7.9",
"MLI","Mali","3.8",
"HRV","Croatia","17.1",
"PRI","PuertoRico","6.7",
"IRL","Ireland","18.9",
"GBR","UnitedKingdom","15.0",
"BOL","Bolivia,PlurinationalStateof","8.1",
"MDA","RepublicofMoldova","13.9",
"ECU","Ecuador","9.8",
"STP","SaoTomeandPrincipe","0",
"JOR","Jordan","11.5",
"WSM","Samoa","0",
"BGR","Bulgaria","18.3",
"NLD","TheNetherlands","12.4",
"FIN","Finland","12.2",
"VNM","VietNam","5.1",
"GMB","TheRepublicoftheGambia","2.6",
"SDN","Sudan","3.7",
"LBN","Lebanon","8.6",
"CPV","CaboVerde","9.5",
"NOR","Norway","13.7",
"GTM","Guatemala","5.2",
"THA","Thailand","7.0",
"AZE","Azerbaijan","12.1",
"MDG","Madagascar","2.9",
"COM","Comoros","0",
"POL","Poland","18.9",
"IND","India","4.3",
"UGA","Uganda","6.5",
"ARM","Armenia","19.3",
"MRT","Mauritania","3.3",
"CZE","Czechia","13.6",
"ROU","Romania","16.7",
"CIV","Côted'Ivoire","7.6",
"BFA","BurkinaFaso","4.3",
"BRA","Brazil","15.6",
"MOZ","Mozambique","0.93",
"ETH","Ethiopia","2.9",
"SRB","Serbia","20.8",
"ZAF","SouthAfrica","4.5",
"KOR","Korea,Republicof","6.3",
"BLR","Belarus","10.4",
"NZL","NewZealand","13.1",
"PYF","FrenchPolynesia","0",
"GHA","Ghana","4.7",
"SWE","Sweden","14.2",
"AFG","Afghanistan","6.7",
"LBR","Liberia","7.7",
"TCD","Chad","1.8",
"PNG","PapuaNewGuinea","2.1",
"HTI","Haiti","1.6",
"ARE","UnitedArabEmirates","7.1",
"AUT","Austria","12.0",
"MDV","Maldives","0",
"CRI","CostaRica","8.4",
"TLS","Timor-Leste","1.8",
"IRQ","Iraq","16.7",
"EGY","Egypt","12.9",
"BTN","Bhutan","4.4",
"MNG","Mongolia","6.1",
"DOM","DominicanRepublic","7.3",
"LCA","SaintLucia","0",
"KAZ","Kazakhstan","7.9",
"VEN","Venezuela,BolivarianRepublicof","8.6",
"BRN","BruneiDarussalam","3.2",
"NPL","Nepal","2.2",
"FJI","Fiji","0",
"SVK","Slovakia","17.9",
"GEO","Georgia","15.7",
"SSD","SouthSudan","4.3",
"LAO","LaoPeople'sDemocraticRepublic","7.1",
"CAN","Canada","11.8",
"NGA","Nigeria","2.7",
"GUA","Guam","0",
"TJK","Tajikistan","7.4",
"AGO","Angola","1.9",
"LUX","Luxembourg","10.5",
"COL","Colombia","8.2",
"PHL","Philippines","6.1",
"ISL","Iceland","22.3",
"TKM","Turkmenistan","5.7",
"BGD","Bangladesh","1.9",
"MTQ","France,Martinique","6.8",
"CYP","Cyprus","16.3",
"REU","France,LaRéunion","6.7",
"ITA","Italy","14.0",
"USA","UnitedStatesofAmerica","12.2",
"BWA","Botswana","0",
"MAR","Morocco","10.1",
"GNQ","EquatorialGuinea","0",
"SEN","Senegal","4.6",
"SOM","Somalia","4.6",
"PRK","Korea,DemocraticRepublicof","9.8",
"BDI","Burundi","5.2",
"VUT","Vanuatu","0",
"GUF","FrenchGuiana","0",
"DEU","Germany","14.3",
"SWZ","Eswatini","0",
"LVA","Latvia","20.5",
"LKA","SriLanka","2.4",
