ISO code,Population,Value
"GLP","France,Guadeloupe","7.4",
"SYR","SyrianArabRepublic","14.3",
"DZA","Algeria","10.9",
"LTU","Lithuania","25.7",
"CHN","China","12.9",
"PER","Peru","7.1",
"HUN","Hungary","14.9",
"TUR","Turkey","22.9",
"BHR","Bahrain","12.8",
"MLT","Malta","17.8",
"CUB","Cuba","14.0",
"QAT","Qatar","7.7",
"ISR","Israel","18.0",
"TZA","Tanzania,UnitedRepublicof","2.2",
"BIH","BosniaandHerzegovina","31.6",
"MNE","Montenegro","15.4",
"SLV","ElSalvador","13.5",
"SAU","SaudiArabia","5.3",
"KEN","Kenya","7.1",
"MMR","Myanmar","7.3",
"NCL","France,NewCaledonia","23.7",
"FRA","France","20.4",
"SVN","Slovenia","21.4",
"PSE","GazaStripandWestBank","10.2",
"SUR","Suriname","14.8",
"LSO","Lesotho","0",
"CAF","CentralAfricanRepublic","2.5",
"PAK","Pakistan","6.5",
"GIN","Guinea","9.2",
"TGO","Togo","3.6",
"ARG","Argentina","11.5",
"MWI","Malawi","0.87",
"COG","Congo,Republicof","0.69",
"PRT","Portugal","19.2",
"IDN","Indonesia","6.5",
"UKR","Ukraine","9.5",
"BRB","Barbados","7.3",
"MUS","Mauritius","5.8",
"BEN","Benin","6.3",
"RUS","RussianFederation","15.6",
"JAM","Jamaica","3.7",
"URY","Uruguay","13.3",
"BLZ","Belize","4.6",
"OMN","Oman","6.3",
"ERI","Eritrea","3.8",
"SLE","SierraLeone","3.7",
"DJI","Djibouti","0.75",
"ZWE","Zimbabwe","7.8",
"KWT","Kuwait","7.4",
"YEM","Yemen","11.3",
"KHM","Cambodia","10.2",
"NIC","Nicaragua","8.3",
"GRC","Greece","24.0",
"CHE","Switzerland","16.3",
"ALB","Albania","16.0",
"LBY","Libya","11.9",
"CHL","Chile","8.7",
"PRY","Paraguay","6.0",
"HND","Honduras","10.1",
"TUN","Tunisia","11.8",
"BHS","Bahamas","7.2",
"MLI","Mali","4.2",
"HRV","Croatia","21.4",
"PRI","PuertoRico","8.1",
"IRL","Ireland","20.8",
"GBR","UnitedKingdom","18.5",
"BOL","Bolivia,PlurinationalStateof","7.5",
"MDA","RepublicofMoldova","16.1",
"ECU","Ecuador","9.8",
"STP","SaoTomeandPrincipe","0",
"JOR","Jordan","15.4",
"WSM","Samoa","9.7",
"BGR","Bulgaria","22.7",
"NLD","TheNetherlands","15.8",
"FIN","Finland","14.8",
"VNM","VietNam","6.3",
"GMB","TheRepublicoftheGambia","3.4",
"SDN","Sudan","5.3",
"LBN","Lebanon","10.6",
"CPV","CaboVerde","7.6",
"NOR","Norway","17.3",
"GTM","Guatemala","5.2",
"THA","Thailand","8.3",
"AZE","Azerbaijan","15.0",
"MDG","Madagascar","3.8",
"COM","Comoros","0",
"POL","Poland","23.2",
"IND","India","6.1",
"UGA","Uganda","7.5",
"ARM","Armenia","24.8",
"MRT","Mauritania","3.6",
"CZE","Czechia","16.8",
"ROU","Romania","19.7",
"CIV","Côted'Ivoire","5.7",
"BFA","BurkinaFaso","4.5",
"BRA","Brazil","17.4",
"MOZ","Mozambique","0.55",
"ETH","Ethiopia","2.7",
"SRB","Serbia","24.2",
"ZAF","SouthAfrica","5.8",
"KOR","Korea,Republicof","7.6",
"BLR","Belarus","10.9",
"NZL","NewZealand","16.0",
"PYF","FrenchPolynesia","7.7",
"GHA","Ghana","5.2",
"SWE","Sweden","17.2",
"AFG","Afghanistan","8.8",
"LBR","Liberia","7.6",
"TCD","Chad","2.5",
"PNG","PapuaNewGuinea","3.9",
"HTI","Haiti","1.4",
"ARE","UnitedArabEmirates","7.4",
"AUT","Austria","14.7",
"MDV","Maldives","4.0",
"CRI","CostaRica","11.7",
"TLS","Timor-Leste","5.9",
"IRQ","Iraq","18.8",
"EGY","Egypt","15.3",
"BTN","Bhutan","8.2",
"MNG","Mongolia","7.4",
"DOM","DominicanRepublic","8.3",
"LCA","SaintLucia","0",
"KAZ","Kazakhstan","10.2",
"VEN","Venezuela,BolivarianRepublicof","9.2",
"BRN","BruneiDarussalam","6.1",
"NPL","Nepal","2.4",
"FJI","Fiji","0",
"SVK","Slovakia","21.2",
"GEO","Georgia","20.5",
"SSD","SouthSudan","4.8",
"LAO","LaoPeople'sDemocraticRepublic","7.6",
"CAN","Canada","14.7",
"NGA","Nigeria","3.3",
"GUA","Guam","0",
"TJK","Tajikistan","9.7",
"AGO","Angola","2.6",
"LUX","Luxembourg","15.9",
"COL","Colombia","9.7",
"PHL","Philippines","6.3",
"ISL","Iceland","23.0",
"TKM","Turkmenistan","8.2",
"BGD","Bangladesh","2.6",
"MTQ","France,Martinique","7.8",
"CYP","Cyprus","20.5",
"REU","France,LaRéunion","8.9",
"ITA","Italy","15.9",
"USA","UnitedStatesofAmerica","14.9",
"BWA","Botswana","0",
"MAR","Morocco","13.7",
"GNQ","EquatorialGuinea","0",
"SEN","Senegal","5.3",
"SOM","Somalia","4.0",
"PRK","Korea,DemocraticRepublicof","10.7",
"BDI","Burundi","5.3",
"VUT","Vanuatu","0",
"GUF","FrenchGuiana","0",
"DEU","Germany","16.5",
"SWZ","Eswatini","0",
"LVA","Latvia","21.8",
"LKA","SriLanka","3.2",
"PAN","Panama","4.8",
"GUY","Guyana","0.73",
"TTO","TrinidadandTobago","3.1",
"AUS","Australia","17.0",
"MYS","Malaysia","4.8",
"COD","Congo,DemocraticRepublicof","2.1",
"GNB","Guinea-Bissau","6.1",
"IRN","Iran,IslamicRepublicof","29.1",
"MKD","NorthMacedonia","35.4",
"BEL","Belgium","15.4",
"MEX","Mexico","6.3",
"DNK","Denmark","18.9",
"RWA","Rwanda","6.3",
"JPN","Japan","6.2",
"UZB","Uzbekistan","10.3",
"SLB","SolomonIslands","0",
"NAM","Namibia","3.3",
"EST","Estonia","17.7",
"SGP","Singapore","7.6",
"GAB","Gabon","1.6",
"ESP","Spain","18.5",
"KGZ","Kyrgyzstan","11.7",
"ZMB","Zambia","5.5",
"CMR","Cameroon","0.91",
"NER","Niger","1.1",
