ISO code,Population,Value
"GLP","France,Guadeloupe","2.7",
"SYR","SyrianArabRepublic","4.7",
"DZA","Algeria","4.1",
"LTU","Lithuania","7.8",
"CHN","China","4.1",
"PER","Peru","3.0",
"HUN","Hungary","5.1",
"TUR","Turkey","6.3",
"BHR","Bahrain","3.2",
"MLT","Malta","4.5",
"CUB","Cuba","4.9",
"QAT","Qatar","2.1",
"ISR","Israel","5.8",
"TZA","Tanzania,UnitedRepublicof","0.56",
"BIH","BosniaandHerzegovina","7.6",
"MNE","Montenegro","5.3",
"SLV","ElSalvador","4.2",
"SAU","SaudiArabia","1.9",
"KEN","Kenya","1.9",
"MMR","Myanmar","2.0",
"NCL","France,NewCaledonia","4.7",
"FRA","France","6.7",
"SVN","Slovenia","6.3",
"PSE","GazaStripandWestBank","3.7",
"SUR","Suriname","4.9",
"LSO","Lesotho","0.32",
"CAF","CentralAfricanRepublic","0.79",
"PAK","Pakistan","2.6",
"GIN","Guinea","3.1",
"TGO","Togo","0.87",
"ARG","Argentina","3.4",
"MWI","Malawi","0.55",
"COG","Congo,Republicof","0.22",
"PRT","Portugal","6.1",
"IDN","Indonesia","2.1",
"UKR","Ukraine","4.2",
"BRB","Barbados","1.1",
"MUS","Mauritius","2.8",
"BEN","Benin","1.4",
"RUS","RussianFederation","5.3",
"JAM","Jamaica","1.8",
"URY","Uruguay","4.3",
"BLZ","Belize","0.97",
"OMN","Oman","2.6",
"ERI","Eritrea","1.3",
"SLE","SierraLeone","1.1",
"DJI","Djibouti","0.43",
"ZWE","Zimbabwe","2.2",
"KWT","Kuwait","1.9",
"YEM","Yemen","3.8",
"KHM","Cambodia","3.5",
"NIC","Nicaragua","2.5",
"GRC","Greece","7.0",
"CHE","Switzerland","5.1",
"ALB","Albania","5.8",
"LBY","Libya","3.9",
"CHL","Chile","2.8",
"PRY","Paraguay","2.3",
"HND","Honduras","3.9",
"TUN","Tunisia","3.5",
"BHS","Bahamas","1.5",
"MLI","Mali","1.5",
"HRV","Croatia","6.9",
"PRI","PuertoRico","2.8",
"IRL","Ireland","6.0",
"GBR","UnitedKingdom","5.7",
"BOL","Bolivia,PlurinationalStateof","2.2",
"MDA","RepublicofMoldova","5.9",
"ECU","Ecuador","3.2",
"STP","SaoTomeandPrincipe","0",
"JOR","Jordan","5.0",
"WSM","Samoa","2.4",
"BGR","Bulgaria","6.5",
