ISO code,Population,Value
"GLP","France,Guadeloupe","9.5",
"SYR","SyrianArabRepublic","17.4",
"DZA","Algeria","12.5",
"LTU","Lithuania","33.1",
"CHN","China","13.5",
"PER","Peru","7.9",
"HUN","Hungary","18.3",
"TUR","Turkey","26.7",
"BHR","Bahrain","13.4",
"MLT","Malta","20.6",
"CUB","Cuba","16.1",
"QAT","Qatar","9.0",
"ISR","Israel","19.5",
"TZA","Tanzania,UnitedRepublicof","2.6",
"BIH","BosniaandHerzegovina","36.6",
"MNE","Montenegro","17.9",
"SLV","ElSalvador","13.2",
"SAU","SaudiArabia","6.7",
"KEN","Kenya","6.7",
"MMR","Myanmar","7.5",
"NCL","France,NewCaledonia","37.8",
"FRA","France","24.5",
"SVN","Slovenia","26.9",
"PSE","GazaStripandWestBank","12.9",
"SUR","Suriname","18.3",
"LSO","Lesotho","0",
"CAF","CentralAfricanRepublic","3.7",
"PAK","Pakistan","7.4",
"GIN","Guinea","10.7",
"TGO","Togo","5.0",
"ARG","Argentina","13.0",
"MWI","Malawi","0",
"COG","Congo,Republicof","0.79",
"PRT","Portugal","25.7",
"IDN","Indonesia","8.9",
"UKR","Ukraine","11.5",
"BRB","Barbados","6.0",
"MUS","Mauritius","6.6",
"BEN","Benin","12.3",
"RUS","RussianFederation","19.0",
"JAM","Jamaica","5.2",
"URY","Uruguay","17.5",
"BLZ","Belize","9.1",
"OMN","Oman","7.5",
"ERI","Eritrea","5.1",
"SLE","SierraLeone","4.6",
"DJI","Djibouti","0",
"ZWE","Zimbabwe","4.6",
"KWT","Kuwait","7.4",
"YEM","Yemen","16.3",
"KHM","Cambodia","10.7",
"NIC","Nicaragua","10.6",
"GRC","Greece","27.2",
"CHE","Switzerland","20.2",
"ALB","Albania","22.8",
"LBY","Libya","15.9",
"CHL","Chile","9.7",
"PRY","Paraguay","6.5",
"HND","Honduras","12.7",
"TUN","Tunisia","15.2",
"BHS","Bahamas","6.1",
"MLI","Mali","4.7",
"HRV","Croatia","26.7",
"PRI","PuertoRico","9.9",
"IRL","Ireland","22.8",
"GBR","UnitedKingdom","22.4",
"BOL","Bolivia,PlurinationalStateof","6.8",
"MDA","RepublicofMoldova","19.3",
"ECU","Ecuador","9.8",
"STP","SaoTomeandPrincipe","0",
"JOR","Jordan","19.7",
"WSM","Samoa","21.0",
"BGR","Bulgaria","28.2",
"NLD","TheNetherlands","19.4",
"FIN","Finland","17.7",
"VNM","VietNam","7.8",
"GMB","TheRepublicoftheGambia","4.3",
"SDN","Sudan","7.4",
"LBN","Lebanon","12.4",
"CPV","CaboVerde","2.6",
"NOR","Norway","21.1",
"GTM","Guatemala","5.2",
"THA","Thailand","9.9",
"AZE","Azerbaijan","18.6",
"MDG","Madagascar","4.9",
"COM","Comoros","0",
"POL","Poland","28.6",
"IND","India","8.0",
"UGA","Uganda","8.8",
"ARM","Armenia","32.6",
"MRT","Mauritania","3.9",
"CZE","Czechia","20.5",
"ROU","Romania","23.1",
"CIV","Côted'Ivoire","4.2",
"BFA","BurkinaFaso","4.7",
"BRA","Brazil","19.6",
"MOZ","Mozambique","0",
"ETH","Ethiopia","2.4",
"SRB","Serbia","28.4",
"ZAF","SouthAfrica","7.5",
"KOR","Korea,Republicof","9.2",
"BLR","Belarus","11.8",
"NZL","NewZealand","19.3",
"PYF","FrenchPolynesia","15.3",
"GHA","Ghana","5.7",
"SWE","Sweden","20.2",
"AFG","Afghanistan","11.1",
"LBR","Liberia","7.6",
"TCD","Chad","3.5",
"PNG","PapuaNewGuinea","5.9",
"HTI","Haiti","1.2",
"ARE","UnitedArabEmirates","7.6",
"AUT","Austria","17.8",
"MDV","Maldives","8.3",
"CRI","CostaRica","15.3",
"TLS","Timor-Leste","10.7",
"IRQ","Iraq","21.4",
"EGY","Egypt","18.4",
"BTN","Bhutan","11.2",
"MNG","Mongolia","9.8",
"DOM","DominicanRepublic","9.4",
"LCA","SaintLucia","0",
"KAZ","Kazakhstan","13.4",
"VEN","Venezuela,BolivarianRepublicof","9.8",
"BRN","BruneiDarussalam","8.9",
"NPL","Nepal","2.6",
"FJI","Fiji","0",
"SVK","Slovakia","25.7",
"GEO","Georgia","27.6",
"SSD","SouthSudan","5.4",
"LAO","LaoPeople'sDemocraticRepublic","8.3",
"CAN","Canada","17.8",
"NGA","Nigeria","4.0",
"GUA","Guam","0",
"TJK","Tajikistan","12.4",
"AGO","Angola","3.4",
"LUX","Luxembourg","21.6",
"COL","Colombia","11.4",
"PHL","Philippines","6.5",
"ISL","Iceland","23.9",
"TKM","Turkmenistan","11.5",
"BGD","Bangladesh","3.1",
"MTQ","France,Martinique","9.1",
"CYP","Cyprus","24.6",
"REU","France,LaRéunion","11.5",
"ITA","Italy","18.0",
"USA","UnitedStatesofAmerica","18.0",
"BWA","Botswana","0",
"MAR","Morocco","17.5",
"GNQ","EquatorialGuinea","0",
"SEN","Senegal","6.3",
"SOM","Somalia","3.3",
"PRK","Korea,DemocraticRepublicof","12.1",
"BDI","Burundi","5.5",
"VUT","Vanuatu","0",
"GUF","FrenchGuiana","0",
"DEU","Germany","19.0",
"SWZ","Eswatini","0",
"LVA","Latvia","24.3",
"LKA","SriLanka","4.3",
"PAN","Panama","4.0",
"GUY","Guyana","0",
"TTO","TrinidadandTobago","5.1",
"AUS","Australia","21.1",
"MYS","Malaysia","5.0",
