"Notes"	"Cancer Sites"	"Cancer Sites Code"	"MSA"	"MSA Code"	Count	Population	Age-Adjusted Rate	Age-Adjusted Rate Lower 95% Confidence Interval	Age-Adjusted Rate Upper 95% Confidence Interval	Age-Adjusted Rate Standard Error
	"All Invasive Cancer Sites Combined"	"0"	"Akron, OH"	"10420"	75162	14037294	463.1	459.7	466.4	1.7
	"All Invasive Cancer Sites Combined"	"0"	"Albany-Schenectady-Troy, NY"	"10580"	103873	17225022	517.6	514.5	520.8	1.6
	"All Invasive Cancer Sites Combined"	"0"	"Albuquerque, NM"	"10740"	74670	16887725	415.4	412.4	418.5	1.5
	"All Invasive Cancer Sites Combined"	"0"	"Allentown-Bethlehem-Easton, PA-NJ"	"10900"	100802	16024626	516.3	513.1	519.5	1.6
	"All Invasive Cancer Sites Combined"	"0"	"Atlanta-Sandy Springs-Roswell, GA"	"12060"	432357	102264211	479.3	477.9	480.8	0.8
	"All Invasive Cancer Sites Combined"	"0"	"Augusta-Richmond County, GA-SC"	"12260"	52121	11082025	443.7	439.9	447.6	2.0
	"All Invasive Cancer Sites Combined"	"0"	"Austin-Round Rock, TX"	"12420"	118857	33302508	441.1	438.5	443.7	1.3
	"All Invasive Cancer Sites Combined"	"0"	"Bakersfield, CA"	"12540"	57113	15949163	429.2	425.6	432.7	1.8
	"All Invasive Cancer Sites Combined"	"0"	"Baltimore-Columbia-Towson, MD"	"12580"	285288	53797326	490.4	488.6	492.2	0.9
	"All Invasive Cancer Sites Combined"	"0"	"Baton Rouge, LA"	"12940"	77225	16013460	496.8	493.2	500.3	1.8
	"All Invasive Cancer Sites Combined"	"0"	"Birmingham-Hoover, AL"	"13820"	104771	20826278	461.4	458.6	464.3	1.4
	"All Invasive Cancer Sites Combined"	"0"	"Boise City, ID"	"14260"	46598	9960245	477.6	473.2	482.0	2.2
	"All Invasive Cancer Sites Combined"	"0"	"Boston-Cambridge-Newton, MA-NH"	"14460"	499825	91377693	499.6	498.2	501.0	0.7
	"All Invasive Cancer Sites Combined"	"0"	"Bridgeport-Stamford-Norwalk, CT"	"14860"	103125	18285707	502.5	499.4	505.6	1.6
	"All Invasive Cancer Sites Combined"	"0"	"Buffalo-Cheektowaga-Niagara Falls, NY"	"15380"	152232	22883324	539.4	536.6	542.1	1.4
	"All Invasive Cancer Sites Combined"	"0"	"Cape Coral-Fort Myers, FL"	"15980"	68625	9637663	441.8	438.3	445.4	1.8
	"All Invasive Cancer Sites Combined"	"0"	"Charleston-North Charleston, SC"	"16700"	64381	13074073	483.7	479.9	487.6	1.9
	"All Invasive Cancer Sites Combined"	"0"	"Charlotte-Concord-Gastonia, NC-SC"	"16740"	200242	43077744	469.8	467.7	471.9	1.1
	"All Invasive Cancer Sites Combined"	"0"	"Chattanooga, TN-GA"	"16860"	39222	6965501	460.6	455.9	465.2	2.4
	"All Invasive Cancer Sites Combined"	"0"	"Chicago-Naperville-Elgin, IL-IN-WI"	"16980"	897940	187438428	479.0	478.0	480.0	0.5
	"All Invasive Cancer Sites Combined"	"0"	"Cincinnati, OH-KY-IN"	"17140"	215483	42314290	484.3	482.3	486.4	1.1
	"All Invasive Cancer Sites Combined"	"0"	"Cleveland-Elyria, OH"	"17460"	246194	41878171	486.9	485.0	488.9	1.0
	"All Invasive Cancer Sites Combined"	"0"	"Colorado Springs, CO"	"17820"	52019	12609142	448.0	444.1	452.0	2.0
	"All Invasive Cancer Sites Combined"	"0"	"Columbia, SC"	"17900"	69764	14833114	464.3	460.8	467.8	1.8
	"All Invasive Cancer Sites Combined"	"0"	"Columbus, OH"	"18140"	173025	37517222	478.7	476.4	481.0	1.2
	"All Invasive Cancer Sites Combined"	"0"	"Dallas-Fort Worth-Arlington, TX"	"19100"	476775	124429218	452.0	450.7	453.4	0.7
	"All Invasive Cancer Sites Combined"	"0"	"Dayton-Kettering, OH"	"19430"	87146	16057435	465.6	462.5	468.8	1.6
	"All Invasive Cancer Sites Combined"	"0"	"Deltona-Daytona Beach-Ormond Beach, FL"	"19660"	78858	10557915	484.5	481.0	488.1	1.8
	"All Invasive Cancer Sites Combined"	"0"	"Denver-Aurora-Lakewood, CO"	"19740"	177804	43710801	426.9	424.9	428.9	1.0
	"All Invasive Cancer Sites Combined"	"0"	"Des Moines-West Des Moines, IA"	"19780"	57168	11928972	475.8	471.8	479.7	2.0
	"All Invasive Cancer Sites Combined"	"0"	"Detroit-Warren-Dearborn, MI"	"19820"	488346	87360250	509.9	508.4	511.3	0.7
